1055,uid5,緯來戲劇台,rtmp://s02.ottclub.info:1935/live/c210.stream#rtmp://s02.ottclub.info:1935/live/c710.stream
1056,uid5,星衛娛樂台HD,rtmp://s03.ottclub.info:1935/live/c242.stream#rtmp://s03.ottclub.info:1935/live/c742.stream
1057,uid5,衛視合家歡台,rtmp://s02.ottclub.info:1935/live/c211.stream#rtmp://s02.ottclub.info:1935/live/c711.stream
1058,uid5,JET綜合台,rtmp://s01.ottclub.info:1935/live/c225.stream#rtmp://s01.ottclub.info:1935/live/c725.stream
1059,uid5,DIVAHD,rtmp://s01.ottclub.info:1935/live/c156.stream#rtmp://s01.ottclub.info:1935/live/c656.stream
1060,uid5,SYFYHD,rtmp://s03.ottclub.info:1935/live/c216.stream#rtmp://s03.ottclub.info:1935/live/c716.stream
1061,uid5,壹電視新聞台HD,rtmp://s01.ottclub.info:1935/live/c232.stream#rtmp://s01.ottclub.info:1935/live/c732.stream
1062,uid5,年代新聞台HD,rtmp://s03.ottclub.info:1935/live/c236.stream#rtmp://s03.ottclub.info:1935/live/c736.stream
1063,uid5,東森新聞台HD,rtmp://s01.ottclub.info:1935/live/c191.stream#rtmp://s01.ottclub.info:1935/live/c691.stream
1064,uid5,中天新聞台HD,rtmp://s01.ottclub.info:1935/live/c188.stream#rtmp://s01.ottclub.info:1935/live/c688.stream
1065,uid5,民視新聞台HD,rtmp://s01.ottclub.info:1935/live/c187.stream#rtmp://s01.ottclub.info:1935/live/c687.stream
1066,uid5,三立新聞台HD,rtmp://s03.ottclub.info:1935/live/c161.stream#rtmp://s03.ottclub.info:1935/live/c661.stream
1067,uid5,TVBS新聞台HD,rtmp://s03.ottclub.info:1935/live/c162.stream#rtmp://s03.ottclub.info:1935/live/c662.stream
1068,uid5,TVBS台HD,rtmp://s01.ottclub.info:1935/live/c189.stream#rtmp://s01.ottclub.info:1935/live/c689.stream
1069,uid5,東森財經新聞台,rtmp://s02.ottclub.info:1935/live/c233.stream#rtmp://s02.ottclub.info:1935/live/c733.stream
1070,uid5,非凡新聞台,rtmp://s02.ottclub.info:1935/live/c212.stream#rtmp://s02.ottclub.info:1935/live/c712.stream
1071,uid5,FOX CRIMEHD,rtmp://s01.ottclub.info:1935/live/c155.stream#rtmp://s01.ottclub.info:1935/live/c655.stream
1072,uid5,FXHD,rtmp://s03.ottclub.info:1935/live/c238.stream#rtmp://s03.ottclub.info:1935/live/c738.stream
1073,uid5,衛視電影台,rtmp://s02.ottclub.info:1935/live/c167.stream#rtmp://s02.ottclub.info:1935/live/c667.stream
1074,uid5,東森電影台,rtmp://s02.ottclub.info:1935/live/c234.stream#rtmp://s02.ottclub.info:1935/live/c734.stream
1075,uid5,HBOHD,rtmp://s01.ottclub.info:1935/live/c185.stream#rtmp://s01.ottclub.info:1935/live/c685.stream
1076,uid5,東森洋片台,rtmp://s02.ottclub.info:1935/live/c194.stream#rtmp://s02.ottclub.info:1935/live/c694.stream
1077,uid5,UniversalHD,rtmp://s01.ottclub.info:1935/live/c203.stream#rtmp://s01.ottclub.info:1935/live/c703.stream
1078,uid5,Star MoviesHD,rtmp://s03.ottclub.info:1935/live/c246.stream#rtmp://s03.ottclub.info:1935/live/c746.stream
1079,uid5,CINEMAX,rtmp://s01.ottclub.info:1935/live/c199.stream#rtmp://s01.ottclub.info:1935/live/c699.stream
1080,uid5,緯來育樂台,rtmp://s02.ottclub.info:1935/live/c166.stream#rtmp://s02.ottclub.info:1935/live/c666.stream
1081,uid5,緯來體育台HD,rtmp://s03.ottclub.info:1935/live/c163.stream#rtmp://s03.ottclub.info:1935/live/c663.stream
1082,uid5,FOX3HD,rtmp://s03.ottclub.info:1935/live/c230.stream#rtmp://s03.ottclub.info:1935/live/c730.stream
1083,uid5,衛視體育台HD,rtmp://s02.ottclub.info:1935/live/c165.stream#rtmp://s02.ottclub.info:1935/live/c665.stream
1084,uid5,緯來日本台,rtmp://s02.ottclub.info:1935/live/c164.stream#rtmp://s02.ottclub.info:1935/live/c664.stream
1085,uid5,愛爾達體育台HD,rtmp://s03.ottclub.info:1935/live/c217.stream#rtmp://s03.ottclub.info:1935/live/c717.stream
1086,uid5,國興衛視台,rtmp://s02.ottclub.info:1935/live/c213.stream#rtmp://s02.ottclub.info:1935/live/c713.stream
1087,uid5,FOXHD,rtmp://s01.ottclub.info:1935/live/c231.stream#rtmp://s01.ottclub.info:1935/live/c731.stream
1088,uid5,HBO原創HD,rtmp://s01.ottclub.info:1935/live/c190.stream#rtmp://s01.ottclub.info:1935/live/c690.stream
1089,uid5,HBO強檔HD,rtmp://s01.ottclub.info:1935/live/c184.stream#rtmp://s01.ottclub.info:1935/live/c684.stream
1090,uid5,HBO溫馨HD,rtmp://s01.ottclub.info:1935/live/c186.stream#rtmp://s01.ottclub.info:1935/live/c686.stream
1091,uid5,博斯高球II台HD,rtmp://s03.ottclub.info:1935/live/c209.stream#rtmp://s03.ottclub.info:1935/live/c709.stream
1092,uid5,博斯運動台HD,rtmp://s03.ottclub.info:1935/live/c208.stream#rtmp://s03.ottclub.info:1935/live/c708.stream
1093,uid5,GOLF CHANNALHD,rtmp://s01.ottclub.info:1935/live/c222.stream#rtmp://s01.ottclub.info:1935/live/c722.stream
1094,uid5,ASN全美運動台HD,rtmp://s01.ottclub.info:1935/live/c221.stream#rtmp://s01.ottclub.info:1935/live/c721.stream
1095,uid5,BabyTVHD,rtmp://s01.ottclub.info:1935/live/c224.stream#rtmp://s01.ottclub.info:1935/live/c724.stream
1096,uid5,Disney Junior,rtmp://s01.ottclub.info:1935/live/c223.stream#rtmp://s01.ottclub.info:1935/live/c723.stream
1097,uid5,MTVHD,rtmp://s03.ottclub.info:1935/live/c241.stream#rtmp://s03.ottclub.info:1935/live/c741.stream
1098,uid5,霹靂台灣台,rtmp://s02.ottclub.info:1935/live/c173.stream#rtmp://s02.ottclub.info:1935/live/c673.stream
1099,uid5,罪案偵緝頻道HD,rtmp://s02.ottclub.info:1935/live/c058.stream#rtmp://s02.ottclub.info:1935/live/c558.stream
1100,uid5,本港台,rtmp://s02.ottclub.info:1935/live/c057.stream#rtmp://s02.ottclub.info:1935/live/c557.stream
1101,uid5,NHK,rtmp://s02.ottclub.info:1935/live/c060.stream#rtmp://s02.ottclub.info:1935/live/c560.stream
1102,uid5,測試-電影,rtmp://s02.ottclub.info:1935/live/c987.stream#rtmp://s02.ottclub.info:1935/live/c987.stream
1103,uid5,測試-冰與火之歌第一季,rtmp://s02.ottclub.info:1935/live/c981.stream#rtmp://s02.ottclub.info:1935/live/c981.stream
1104,uid5,測試-嘻哈帝國第一季,rtmp://s02.ottclub.info:1935/live/c982.stream#rtmp://s02.ottclub.info:1935/live/c982.stream
1105,uid5,測試-海賊王,rtmp://s01.ottclub.info:1935/live/c307.stream#rtmp://s01.ottclub.info:1935/live/c307.stream
